,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,is_success
6054,0.972,['David Bauer'],0.5670000000000001,313293,0.22699999999999998,0,0w0D8H1ubRerCXHWYJkinO,0.601,10,0.11,-13.440999999999999,1,Shout to the Lord,47,2000,0.028999999999999998,136.123,0.0396,2000,0
6055,0.321,['Etta James'],0.821,360240,0.418,0,4JVeqfE2tpi7Pv63LJZtPh,0.00037200000000000004,9,0.222,-9.841000000000001,0,Miss You,51,2000-12-12,0.0407,117.382,0.8029999999999999,2000,0
6056,0.00659,['Quasimoto'],0.706,202507,0.602,1,5pxtdhLAi0RTh1gNqhGMNA,0.000138,11,0.4,-8.306000000000001,0,Real Eyes,44,2000-06-13,0.342,89.69200000000002,0.479,2000,0
6057,0.0039,['Millencolin'],0.368,173360,0.977,0,3jRsoe4Vkxa4BMYqGHX8L0,0.0,11,0.35,-2.7569999999999997,0,Penguins & Polarbears,52,2000-02-22,0.127,165.889,0.5479999999999999,2000,0
6058,0.122,['Steve Chou'],0.501,344200,0.511,0,4mronxcllhfyhBRqyZi8kU,0.0,7,0.27899999999999997,-9.836,0,黃昏,53,2000-12-25,0.0291,78.045,0.113,2000,0
6059,0.0666,"['Prodigy', 'Nas']",0.8290000000000001,195293,0.614,1,0SlljMy4uEgoVPCyavtcHH,0.00085,1,0.0975,-8.546,1,Self Conscience - Dirty Version,46,2000-11-06,0.267,90.92399999999999,0.496,2000,0
6060,0.00747,['At The Drive In'],0.35200000000000004,174773,0.985,0,2IHmR8p2poiSaS3cgBKmOt,0.0010199999999999999,2,0.3670000000000001,-2.555,1,Arcarsenal,40,2000,0.22,129.97299999999998,0.24100000000000002,2000,0
6061,0.0792,['Barney'],0.9740000000000001,56893,0.604,0,4Zp7iCDJU2BfD7SOLuSa6X,0.0,7,0.0528,-8.979,1,Barney Theme Song,39,2000-01-01,0.036000000000000004,114.04700000000001,0.998,2000,0
6062,0.0004,['Godsmack'],0.505,334893,0.617,0,1losCJa0dcFV6HgZoqEESf,0.0131,8,0.42100000000000004,-7.744,1,Spiral,41,2000-10-31,0.0251,96.976,0.41700000000000004,2000,0
6063,0.759,"['Hans Zimmer', 'Gavin Greenaway', 'The Lyndhurst Orchestra']",0.17,181867,0.0504,0,4mWNwMmBADo548bT4xYtDo,0.948,4,0.11199999999999999,-29.686999999999998,0,Earth,47,2000-04-25,0.0377,127.41799999999999,0.0963,2000,0
6064,0.575,['Billy Preston'],0.809,157667,0.726,0,5n9QhVJS3XSjSc9kNJNEIU,0.235,9,0.18,-8.209,0,Nothing From Nothing,39,2000-01-01,0.0274,102.779,0.92,2000,0
6065,0.655,['The Peasall Sisters'],0.735,96133,0.521,0,49rEKkP4P0nKhxMdPxaYzP,0.024,1,0.207,-12.161,1,In The Highways,42,2000-12-05,0.0317,113.545,0.946,2000,0
6066,0.988,"['The Cathedral Singers', 'Lorelei McDermott', 'Stephen Hartman']",0.233,248600,0.122,0,4IyK8htJJzbRjPihpMouWu,0.0035399999999999997,10,0.0916,-19.528,1,"Ave Maria, Op. 52 No. 6, D. 839 (Arr. for Soprano, Harp & Chorus)",52,2000-01-01,0.0333,90.59299999999999,0.0991,2000,0
6067,0.19699999999999998,['Dave Hollister'],0.598,256493,0.581,0,5i3lYkjBeJdbdNY383bJ1f,0.0,8,0.121,-7.61,1,Take Care Of Home,38,2000-01-01,0.0418,73.071,0.696,2000,0
6068,0.19699999999999998,['Junior & Jorge'],0.953,289587,0.563,0,66xErjM5Uym1xvQLhPi6Qs,2.72e-05,2,0.0448,-7.84,1,Olvidala,42,2000,0.0418,129.857,0.861,2000,0
6069,0.000442,['Agent Orange'],0.506,126990,0.941,0,7LQyIbPLk22Qem2rNmitCL,7.08e-06,10,0.0819,-6.812,0,Bloodstains,43,2000,0.16399999999999998,105.195,0.40299999999999997,2000,0
6070,6.13e-05,['The Clarks'],0.314,195067,0.688,0,1liqxWv5Stjdtor4n3S9cZ,2.45e-05,11,0.146,-7.524,1,Born Too Late,40,2000-06-20,0.0306,186.34799999999998,0.536,2000,0
6071,0.17800000000000002,"['Deltron 3030', 'Del The Funky Homosapien', 'Dan The Automator', 'Kid Koala']",0.46,278880,0.772,0,2Mh3mh3aKeAgLKaUyDQZbv,4.4e-05,10,0.182,-9.724,0,Madness,41,2000,0.419,174.935,0.741,2000,0
6072,0.0462,['Rehab'],0.6729999999999999,220867,0.82,0,4OhDlODBpYNg4tuWHh8kj2,0.0,5,0.129,-5.265,0,It Don't Matter,38,2000,0.17,87.23100000000002,0.718,2000,0
6073,0.004370000000000001,['Ween'],0.462,210600,0.713,0,50PHi5BOQPjTng4JRKvm2L,0.358,7,0.382,-6.0310000000000015,1,Flutes of Chi,40,2000-05-02,0.0315,133.736,0.67,2000,0
6074,0.135,['Elvis Martinez'],0.878,221080,0.594,0,6YhrPNvIJga1ACuEmsyaPO,7.670000000000001e-05,0,0.0692,-6.547999999999999,1,Bailando Con El,44,2000-05-01,0.0443,134.718,0.9159999999999999,2000,0
6075,0.436,['Los Razos'],0.708,175560,0.491,0,2PsIEl2MF6biKim5ylw3vm,1.33e-06,8,0.183,-7.1579999999999995,1,El Tarasco,41,2000-01-01,0.0452,114.164,0.9640000000000001,2000,0
6076,0.19699999999999998,['Park Ji Yoon'],0.884,210080,0.687,0,2adWXRegCboef5ZOjW3ffe,3.78e-05,4,0.192,-5.632999999999999,0,Coming of age ceremony,49,2000-07-26,0.172,99.06700000000001,0.753,2000,0
6077,0.37,['Lamar Campbell & Spirit Of Praise'],0.511,396333,0.379,0,1c8N865GdfUkCkI87pin5T,0.0,8,0.14800000000000002,-10.184,1,More Than Anything,39,2000-01-01,0.0262,95.07600000000001,0.192,2000,0
6078,0.175,['Emilio Navaira'],0.56,228360,0.647,0,5TamOh6vFWof4dpKcIZvLt,0.0,9,0.0439,-8.266,1,Esperando Su Llamada,47,2000,0.0307,152.002,0.858,2000,0
6079,0.489,['Grupo Laberinto'],0.45399999999999996,143987,0.568,0,1JXbiNdyUxrarBemQfAqYJ,3.74e-06,10,0.326,-7.074,1,Tu Derrota,42,2000-01-01,0.106,197.795,0.971,2000,0
6080,0.000126,['Disturbed'],0.609,203773,0.843,0,3jYNZPZA5qZHSdSAxBdn5q,0.000239,6,0.0535,-3.9,1,Violence Fetish,43,2000-02-25,0.0369,92.928,0.625,2000,0
6081,0.0256,['Portrait'],0.7709999999999999,235200,0.745,0,5rIr1MOh4cWwpdln1QqTPS,0.00037400000000000004,11,0.107,-10.217,0,Here We Go Again! - Radio Edit,40,2000-01-01,0.0904,106.709,0.599,2000,0
6082,0.000154,['Finger Eleven'],0.409,201467,0.872,0,3JdtnzG1qxSugpXwNuoo9v,5.08e-05,6,0.16699999999999998,-5.2570000000000014,0,Drag You Down,40,2000-01-01,0.111,200.243,0.41200000000000003,2000,0
6083,0.51,['Raphael'],0.27399999999999997,261965,0.742,0,5uyDA5kB1J3CDJgk0Rwfap,0.000147,2,0.324,-5.624,1,A mi manera - 2000 Remastered Version,54,2000-08-17,0.0433,85.493,0.33399999999999996,2000,0
6084,0.10099999999999999,['Billy Gilman'],0.442,249840,0.447,0,3ZdA3QuqHqOJdsczRwT1hg,0.0,0,0.0962,-8.838,1,One Voice,39,2000-06-14,0.0252,149.65200000000004,0.16,2000,1
6085,0.00498,['Orgy'],0.578,205373,0.946,0,6NldY5aZigWeeGIMY41qG6,1.0199999999999999e-05,5,0.26899999999999996,-3.091,0,Fiction - Dreams in Digital,42,2000-09-29,0.0449,119.93799999999999,0.545,2000,0
6086,0.11699999999999999,['Steely Dan'],0.518,277200,0.784,0,49K5azCmY65Ha5IuUaO678,0.0,2,0.0954,-8.924,1,Reelin' In The Years,39,2000-01-01,0.0369,135.25,0.736,2000,0
6087,0.000194,['Pantera'],0.307,160960,0.985,1,1OdavDKvGA15nLfSRqAIpp,0.596,2,0.252,-3.11,1,Hellbound,44,2000-01-01,0.0837,117.507,0.65,2000,0
6088,0.425,['Kelly Price'],0.5770000000000001,380333,0.349,0,5FX8KqBY74jLl0BBTSNl2N,0.0,8,0.134,-7.77,1,As We Lay,40,2000-01-01,0.0312,124.01,0.131,2000,1
6089,0.7929999999999999,['Gary Valenciano'],0.184,309986,0.21899999999999997,0,2Qz6fXjy6tIDrvOcSoOjdD,0.0,3,0.0693,-13.497,1,I Will Be Here,54,2000,0.0302,176.42,0.21,2000,0
6090,0.0288,['Flogging Molly'],0.305,421107,0.95,0,40jxxlPvRrvPLPyAb22bSu,0.00442,11,0.369,-6.527,0,Black Friday Rule,44,2000-03-07,0.192,142.454,0.633,2000,0
